Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"On Applying FMEA to SOAs: A Proposal and Open Challenges","Software Engineering for Resilient Systems","","","","10.1007/978-3-319-12241-0_7","Cristiana AreiasNuno AntunesJoão Carlos Cunha","2014","http://rd.springer.com/chapter/10.1007/978-3-319-12241-0_7","Chapter"
"A Negotiation Framework for Service-Oriented Product Line Development","Formal Foundations of Reuse and Domain Engineering","","","","10.1007/978-3-642-04211-9_26","Jaejoon LeeGerald KotonyaDaniel Robinson","2009","http://rd.springer.com/chapter/10.1007/978-3-642-04211-9_26","Chapter"
"Towards Correctness Assurance in Adaptive Service-Based Applications","Towards a Service-Based Internet","","","","10.1007/978-3-540-89897-9_3","Raman KazhamiakinAndreas MetzgerMarco Pistore","2008","http://rd.springer.com/chapter/10.1007/978-3-540-89897-9_3","Chapter"
"Microservices in a Small Development Organization","Software Architecture","","","","10.1007/978-3-319-65831-5_15","Georg BuchgeherMario WintererRainer WeinreichJohannes LugerRoland WingelhoferMario Aistleitner","2017","http://rd.springer.com/chapter/10.1007/978-3-319-65831-5_15","Chapter"
"Towards Dynamic Reconfiguration for QoS Consistent Services Based Applications","Service-Oriented Computing","","","","10.1007/978-3-642-34321-6_61","Yuyu YinYing Li","2012","http://rd.springer.com/chapter/10.1007/978-3-642-34321-6_61","Chapter"
"A model for dynamic reconfiguration in service-oriented architectures","Software & Systems Modeling","","12","2","10.1007/s10270-012-0236-1","José Luiz FiadeiroAntónia Lopes","2013","http://rd.springer.com/article/10.1007/s10270-012-0236-1","Article"
"Towards a Taxonomy of Microservices Architectures","Software Engineering and Formal Methods","","","","10.1007/978-3-319-74781-1_15","Martin Garriga","2018","http://rd.springer.com/chapter/10.1007/978-3-319-74781-1_15","Chapter"
"SCA and jABC: Bringing a Service-Oriented Paradigm to Web-Service Construction","Leveraging Applications of Formal Methods, Verification and Validation","","","","10.1007/978-3-540-88479-8_11","Georg JungTiziana MargariaRalf NagelWolfgang SchubertBernhard SteffenHorst Voigt","2008","http://rd.springer.com/chapter/10.1007/978-3-540-88479-8_11","Chapter"
"Pattern-based e-service modelling for virtual service enterprises","Service Oriented Computing and Applications","","3","1","10.1007/s11761-009-0039-6","Christian ZirpinsWolfgang Emmerich","2009","http://rd.springer.com/article/10.1007/s11761-009-0039-6","Article"
"Modeling and Mining of Dynamic Trust in Complex Service-Oriented Systems","Socially Enhanced Services Computing","","","","10.1007/978-3-7091-0813-0_3","Florian SkopikDaniel SchallSchahram Dustdar","2011","http://rd.springer.com/chapter/10.1007/978-3-7091-0813-0_3","Chapter"
"Third International Workshop on Engineering Service-Oriented Applications: Analysis, Design & Composition","Service-Oriented Computing - ICSOC 2007 Workshops","","","","10.1007/978-3-540-93851-4_33","George FeuerlichtChristian ZirpinsGuadalupe OrtizYen-Jao ChungWinfried LamersdorfWolfgang Emmerich","2009","http://rd.springer.com/chapter/10.1007/978-3-540-93851-4_33","Chapter"
"Designing an SOA for P2P On-Demand Video Delivery","High Assurance Services Computing","","","","10.1007/978-0-387-87658-0_13","Zhenghua FuJun-Jang JengHui LeiChao Liang","2009","http://rd.springer.com/chapter/10.1007/978-0-387-87658-0_13","Chapter"
"DeMOCAS: Domain Objects for Service-Based Collective Adaptive Systems","Service-Oriented Computing – ICSOC 2016 Workshops","","","","10.1007/978-3-319-68136-8_19","Antonio BucchiaroneMartina De SanctisAnnapaola MarconiAlberto Martinelli","2017","http://rd.springer.com/chapter/10.1007/978-3-319-68136-8_19","Chapter"
"Exploring Optimal Service Compositions in Highly Heterogeneous and Dynamic Service-Based Systems","Search Based Software Engineering","","","","10.1007/978-3-642-39742-4_30","Dionysios EfstathiouPeter McBurneySteffen ZschalerJohann Bourcier","2013","http://rd.springer.com/chapter/10.1007/978-3-642-39742-4_30","Chapter"
"A Requirements-Based Model for Effort Estimation in Service-Oriented Systems","Service-Oriented Computing – ICSOC 2013 Workshops","","","","10.1007/978-3-319-06859-6_8","Bertrand VerlaineIvan J. JuretaStéphane Faulkner","2014","http://rd.springer.com/chapter/10.1007/978-3-319-06859-6_8","Chapter"
