Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Challenges and Opportunities for Formal Specifications in Service Oriented Architectures","Applications and Theory of Petri Nets","","","","10.1007/978-3-540-68746-7_1","Gustavo Alonso","2008","http://rd.springer.com/chapter/10.1007/978-3-540-68746-7_1","Chapter"
"Quantitative evaluation of model consistency evolution in compositional service-oriented simulation using a connected hyper-digraph","Journal of Zhejiang University SCIENCE C","","15","1","10.1631/jzus.C1300089","Lin-jun FanYun-xiang LingXing-tao ZhangJun Tang","2014","http://rd.springer.com/article/10.1631/jzus.C1300089","Article"
"Service-Oriented Architectures Testing: A Survey","Software Engineering","","","","10.1007/978-3-540-95888-8_4","Gerardo CanforaMassimiliano Di Penta","2009","http://rd.springer.com/chapter/10.1007/978-3-540-95888-8_4","Chapter"
"Building measure-based prediction models for UML class diagram maintainability","Empirical Software Engineering","","12","5","10.1007/s10664-007-9038-4","Marcela GeneroEsperanza MansoAaron VisaggioGerardo CanforaMario Piattini","2007","http://rd.springer.com/article/10.1007/s10664-007-9038-4","Article"
"Web Service-Based Enterprise Data Service Center for Exchanging Common Data of Enterprise","Advanced Research on Computer Education, Simulation and Modeling","","","","10.1007/978-3-642-21802-6_31","WenLin PanTieHu TangChangHua Qiu","2011","http://rd.springer.com/chapter/10.1007/978-3-642-21802-6_31","Chapter"
"An Integrated Approach for Creating Service-Based Interactive Applications","Human-Computer Interaction – INTERACT 2009","","","","10.1007/978-3-642-03658-3_105","Marius FeldmannJordan JaneiroTobias NestlerGerald HübschUwe JugelAndré PreussnerAlexander Schill","2009","http://rd.springer.com/chapter/10.1007/978-3-642-03658-3_105","Chapter"
"Incorporating Model-Driven Techniques into Requirements Engineering for the Service-Oriented Development Process","Engineering Methods in the Service-Oriented Context","","","","10.1007/978-3-642-19997-4_11","Grzegorz LoniewskiAusias ArmestoEmilio Insfran","2011","http://rd.springer.com/chapter/10.1007/978-3-642-19997-4_11","Chapter"
"Model based verification of dynamically evolvable service oriented systems","Science China Information Sciences","","59","3","10.1007/s11432-015-5332-8","Yu ZhouJidong GePengcheng ZhangWeigang Wu","2016","http://rd.springer.com/article/10.1007/s11432-015-5332-8","Article"
"Towards Self-adaptation Planning for Complex Service-Based Systems","Service-Oriented Computing – ICSOC 2013 Workshops","","","","10.1007/978-3-319-06859-6_38","Azlan IsmailValeria Cardellini","2014","http://rd.springer.com/chapter/10.1007/978-3-319-06859-6_38","Chapter"
"A Service-Based Architecture for Multi-domain Search on the Web","Service-Oriented Computing","","","","10.1007/978-3-642-17358-5_53","Alessandro BozzonMarco BrambillaFrancesco CorcoglionitiSalvatore Vadacca","2010","http://rd.springer.com/chapter/10.1007/978-3-642-17358-5_53","Chapter"
