"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3143443","Justus  Bogner and Stefan  Wagner and Alfred  Zimmermann","","","","Automatically Measuring the Maintainability of Service- and Microservice-based Systems: A Literature Review","107--115","","9","SOA, maintainability, metrics, microservices, service-based systems","10.1145/3143434.3143443","","","","","","","2017","","Proceedings of the 27th International Workshop on Software Measurement and 12th International Conference on Software Process and Product Measurement","IWSM Mensura '17","","978-1-4503-4853-9","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3129816","Justus  Bogner and Stefan  Wagner and Alfred  Zimmermann","","","","Towards a Practical Maintainability Quality Model for Service-and Microservice-based Systems","195--198","","4","SOA, maintainability, metrics, microservices, quality model, service-based systems","10.1145/3129790.3129816","","","","","","","2017","","Proceedings of the 11th European Conference on Software Architecture: Companion Proceedings","ECSA '17","","978-1-4503-5217-8","Canterbury, United Kingdom","ACM","New York, NY, USA"
"article","3194166","Justus  Bogner and Jonas  Fritzsch and Stefan  Wagner and Alfred  Zimmermann","","","","Limiting Technical Debt with Maintainability Assurance: An Industry Survey on Used Techniques and Differences with Service- and Microservice-based Systems","125--133","","9","industry, maintainability, microservice-based systems, service-based systems, software quality control, survey","10.1145/3194164.3194166","","","","","","","2018","","Proceedings of the 2018 International Conference on Technical Debt","TechDebt '18","","978-1-4503-5713-5","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3106224","Leonardo P. Tizzei and Marcelo  Nery and Vin&#237;cius C. V. B. Segura and Renato F. G. Cerqueira","","","","Using Microservices and Software Product Line Engineering to Support Reuse of Evolving Multi-tenant SaaS","205--214","","10","Microservices, Multi-tenancy, Service-oriented Architectures, Software Evolution, Software Reuse","10.1145/3106195.3106224","","","","","","","2017","","Proceedings of the 21st International Systems and Software Product Line Conference - Volume A","SPLC '17","","978-1-4503-5221-5","Sevilla, Spain","ACM","New York, NY, USA"
"article","2507304","Jayeeta  Chanda and Sabnam  Sengupta and Ananya  Kanjilal and Swapan  Bhattacharya","","","","Behavioral and Structural Evolution of SOA from OO: An Integrated Approach","1--9","","9","evolution, formalization, service oriented architecture","10.1145/2507288.2507304","SIGSOFT Softw. Eng. Notes","September 2013","38","5","","August","2013","0163-5948","","","","","","ACM","New York, NY, USA"
"article","2232081","Ying  Liu and Walter  Cazzola and Bin  Zhang","","","","Towards a Colored Reflective Petri-net Approach to Model Self-evolving Service-oriented Architectures","1858--1865","","8","adaptive SOA, reflection, reflective Petri nets, service composition, software evolution, web service","10.1145/2245276.2232081","","","","","","","2012","","Proceedings of the 27th Annual ACM Symposium on Applied Computing","SAC '12","","978-1-4503-0857-1","Trento, Italy","ACM","New York, NY, USA"
"article","2245373","Christian  Inzinger and Benjamin  Satzger and Waldemar  Hummer and Philipp  Leitner and Schahram  Dustdar","","","","Non-intrusive Policy Optimization for Dependable and Adaptive Service-oriented Systems","504--510","","7","SOA, adaptation, autonomic management, dependability","10.1145/2245276.2245373","","","","","","","2012","","Proceedings of the 27th Annual ACM Symposium on Applied Computing","SAC '12","","978-1-4503-0857-1","Trento, Italy","ACM","New York, NY, USA"
"article","2819243","M. Ali Babar and Hye-young  Paik and Malolan  Chetlur and Michael  Bauer and Amir Molzam Sharifloo","","","","7th International Workshop on Principles of Engineering Service-oriented and Cloud Systems (PESOS 2015)","987--988","","2","SOA, cloud computing, cloud services, collaborative services, service-oriented architecture, service-oriented systems, software engineering, software services","","","","","","","","2015","","Proceedings of the 37th International Conference on Software Engineering - Volume 2","ICSE '15","","","Florence, Italy","IEEE Press","Piscataway, NJ, USA"
"article","1370917","Kostas  Kontogiannis and Grace A. Lewis and Dennis B. Smith","","","","A Research Agenda for Service-oriented Architecture","1--6","","6","SOA, SOA research, service orientation, service-oriented architecture, service-oriented systems, systems interoperability","10.1145/1370916.1370917","","","","","","","2008","","Proceedings of the 2Nd International Workshop on Systems Development in SOA Environments","SDSOA '08","","978-1-60558-029-6","Leipzig, Germany","ACM","New York, NY, USA"
"article","2820503","Kai  Niklas and Joel  Greenyer and Kurt  Schneider","","","","Towards Application and Evolution of Model-based Heuristics for Improving SOA Service Design","60--65","","6","experience, heuristics, modeling, service oriented architecture (SOA), static analysis","","","","","","","","2015","","Proceedings of the Seventh International Workshop on Modeling in Software Engineering","MiSE '15","","","Florence, Italy","IEEE Press","Piscataway, NJ, USA"
"article","1639971","Lars Arne Sk&#229;r and Morten  Udn&#230;s and Ruth  Lennon and Amir  Zeid and Arne J&#248;rgen Berre and Dumitru  Roman and Einar  Landre and Willem-Jan  van den Heuvel","","","","Towards Best Practices in Implementing and Operating for the Cloud","699--700","","2","SOA, SaaS, cloud, service orientation, web services","10.1145/1639950.1639971","","","","","","","2009","","Proceedings of the 24th ACM SIGPLAN Conference Companion on Object Oriented Programming Systems Languages and Applications","OOPSLA '09","","978-1-60558-768-4","Orlando, Florida, USA","ACM","New York, NY, USA"
"article","1640009","Ruth G. Lennon and Lars Arne Sk&#229;r and Morten  Udn&#230;s and Arne J&#248;rgen Berre and Amir  Zeid and Dumitru  Roman and Einar  Landre and Willem-Jan  van den Heuvel","","","","Best Practices in Cloud Computing: Designing for the Cloud","775--776","","2","SAAS, SoA, cloud, service orientation, web services","10.1145/1639950.1640009","","","","","","","2009","","Proceedings of the 24th ACM SIGPLAN Conference Companion on Object Oriented Programming Systems Languages and Applications","OOPSLA '09","","978-1-60558-768-4","Orlando, Florida, USA","ACM","New York, NY, USA"
"article","2347714","Ye-Chi  Wu and Hewijin Christine Jiau","","","","A Monitoring Mechanism to Support Agility in Service-based Application Evolution","1--10","","10","agile development, dynamic configuring, evolution planning, runtime monitoring, service-based technique, service-oriented paradigm","10.1145/2347696.2347714","SIGSOFT Softw. Eng. Notes","September 2012","37","5","","September","2012","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1808895","Martin  Treiber and Lukasz  Juszczyk and Daniel  Schall and Schahram  Dustdar","","","","Programming Evolvable Web Services","43--49","","7","Genesis, adaptation, evolvable services, programming model, service evolution, web services","10.1145/1808885.1808895","","","","","","","2010","","Proceedings of the 2Nd International Workshop on Principles of Engineering Service-Oriented Systems","PESOS '10","","978-1-60558-963-3","Cape Town, South Africa","ACM","New York, NY, USA"
"article","1808896","Antonio  Bucchiarone and Raman  Kazhamiakin and Cinzia  Cappiello and Elisabetta  di Nitto and Valentina  Mazza","","","","A Context-driven Adaptation Process for Service-based Applications","50--56","","7","adaptation, context-awareness, service-oriented systems","10.1145/1808885.1808896","","","","","","","2010","","Proceedings of the 2Nd International Workshop on Principles of Engineering Service-Oriented Systems","PESOS '10","","978-1-60558-963-3","Cape Town, South Africa","ACM","New York, NY, USA"
"article","2739021","Frank J. Frey and Carsten  Hentrich and Uwe  Zdun","","","","Capability-based Service Identification in Service-oriented Legacy Modernization","10:1--10:12","10","12","SOA, business capabilities, patterns, service-oriented legacy modernization, software architecture","10.1145/2739011.2739021","","","","","","","2015","","Proceedings of the 18th European Conference on Pattern Languages of Program","EuroPLoP '13","","978-1-4503-3465-5","Irsee, Germany","ACM","New York, NY, USA"
"article","1554247","Mong Leng Sin and M&#233;lanie  Bouroche and Vinny  Cahill","","","","On the Use of Service Oriented Architectures for Intelligent Vehicle Research and Development","55--60","","6","intelligent vehicle, service oriented architecture","10.1145/1554233.1554247","","","","","","","2009","","Proceedings of the 1st International Workshop on Context-Aware Middleware and Services: Affiliated with the 4th International Conference on Communication System Software and Middleware (COMSWARE 2009)","CAMS '09","","978-1-60558-525-3","Dublin, Ireland","ACM","New York, NY, USA"
"article","1529517","Min  Liu and Dianfu  Ma and Yongwang  Zhao","","","","An Approach to Identifying Conversation Dependency in Service Oriented System During Dynamic Evolution","1072--1073","","2","SOA, conversation dependency, dynamic evolution, system consistency","10.1145/1529282.1529517","","","","","","","2009","","Proceedings of the 2009 ACM Symposium on Applied Computing","SAC '09","","978-1-60558-166-8","Honolulu, Hawaii","ACM","New York, NY, USA"
"article","1967563","Natalia  Kryvinska and Christine  Strauss and Lukas  Auer and I.  Ivanochko","","","","Assessment of Business Value from Services Re-use on SOA-based e-Business Platform","493--500","","8","business value analysis (BVA), e-business, service-oriented architecture (SOA)","10.1145/1967486.1967563","","","","","","","2010","","Proceedings of the 12th International Conference on Information Integration and Web-based Applications &#38; Services","iiWAS '10","","978-1-4503-0421-4","Paris, France","ACM","New York, NY, USA"
"article","1363932","T. G. J. Schepers and M. E. Iacob and P. A. T. Van Eck","","","","A Lifecycle Approach to SOA Governance","1055--1061","","7","governance, lifecycle, maturity, policy, service level, service-oriented architecture, software quality","10.1145/1363686.1363932","","","","","","","2008","","Proceedings of the 2008 ACM Symposium on Applied Computing","SAC '08","","978-1-59593-753-7","Fortaleza, Ceara, Brazil","ACM","New York, NY, USA"
"article","2367672","Wenguang  Wang and Wenguang  Yu and Qun  Li and Weiping  Wang and Xichun  Liu","","","","Service-oriented High Level Architecture","16:1--16:12","16","12","HLA evolved, Service-Oriented Architecture (SOA), Service-oriented High Level Architecture (SOHLA), high level architecture (HLA), modeling and simulation (M&S), web services","","","","","","","","2008","","Proceedings of the 2008 Summer Computer Simulation Conference","SCSC '08","","","Edinburgh, Scotland","Society for Modeling &#38; Simulation International","Vista, CA"
"article","2579312","Anca Daniela Ionita and Grace A. Lewis and Marin  Litoiu","","","","Report of the 2013 IEEE 7th International Symposium on the Maintenance and Evolution of Service-oriented and Cloud-based Systems (MESOCA 2013)","34--37","","4","SOA, cloud computing, cloudbased systems, service-oriented systems, serviceoriented architecture, services, software evolution, software maintenance","10.1145/2579281.2579312","SIGSOFT Softw. Eng. Notes","March 2014","39","2","","March","2014","0163-5948","","","","","","ACM","New York, NY, USA"
"article","2554987","Carlos  Parra and Diego  Joya and Leonardo  Giral and Alvaro  Infante","","","","An SOA Approach for Automating Software Product Line Adoption","1231--1238","","8","model-driven engineering, reverse engineering, service oriented architecture, software product lines","10.1145/2554850.2554987","","","","","","","2014","","Proceedings of the 29th Annual ACM Symposium on Applied Computing","SAC '14","","978-1-4503-2469-4","Gyeongju, Republic of Korea","ACM","New York, NY, USA"
"article","1270300","Liam  O'Brien and Paulo  Merson and Len  Bass","","","","Quality Attributes for Service-Oriented Architectures","3--","","","","10.1109/SDSOA.2007.10","","","","","","","2007","","Proceedings of the International Workshop on Systems Development in SOA Environments","SDSOA '07","","0-7695-2960-7","","IEEE Computer Society","Washington, DC, USA"
"article","1449884","Anders  Aas Bjerkestrand and Lars Arne Skaar and Ruth  Lennon and Amir  Zeid","","","","Sixth International Workshop on SOA & Web Services: Best Practices","857--858","","2","architecture, design and adoption, governance, methodologies, service-oriented architecture, web services","10.1145/1449814.1449884","","","","","","","2008","","Companion to the 23rd ACM SIGPLAN Conference on Object-oriented Programming Systems Languages and Applications","OOPSLA Companion '08","","978-1-60558-220-7","Nashville, TN, USA","ACM","New York, NY, USA"
"article","2382764","Patricia  Lago and Grace A. Lewis and Andreas  Metzger and Vladimir  Tosic and Domenico  Bianculli and Antinisca  Di Marco and Andrea  Polini and Pierluigi  Plebani","","","","Report of the 4th International Workshop on Principles of Engineering Service-oriented Systems (PESOS 2012)","35--38","","4","SOA, SaaS, cloud computing, internet of services, service-oriented architecture, service-oriented systems, services, software engineering, software-as-a-service","10.1145/2413038.2382764","SIGSOFT Softw. Eng. Notes","January 2013","38","1","","January","2013","0163-5948","","","","","","ACM","New York, NY, USA"
"article","2382764","Patricia  Lago and Grace A. Lewis and Andreas  Metzger and Vladimir  Tosic and Domenico  Bianculli and Antinisca  Di Marco and Andrea  Polini and Pierluigi  Plebani","","","","Report of the 4th International Workshop on Principles of Engineering Service-oriented Systems (PESOS 2012)","1--7","","7","SOA, SaaS, cloud computing, internet of services, service-oriented architecture, service-oriented systems, services, software engineering, software-as-a-service","10.1145/2382756.2382764","SIGSOFT Softw. Eng. Notes","November 2012","37","6","","January","2013","0163-5948","","","","","","ACM","New York, NY, USA"
"article","2381792","R.  Kamatchi","","","","A Service Oriented Life Cycle Model for Educational Information System","409--412","","4","locator, service oriented architecture, web service","10.1145/2381716.2381792","","","","","","","2012","","Proceedings of the CUBE International Information Technology Conference","CUBE '12","","978-1-4503-1185-4","Pune, India","ACM","New York, NY, USA"
"article","1774603","Shih-Hsi  Liu and Adam  Cardenas and Xang  Xiong and Marjan  Mernik and Barrett R. Bryant and Jeff  Gray","","","","Can Domain-specific Languages Be Implemented by Service-oriented Architecture?","2491--2492","","2","domain-specific languages, service-oriented architecture","10.1145/1774088.1774603","","","","","","","2010","","Proceedings of the 2010 ACM Symposium on Applied Computing","SAC '10","","978-1-60558-639-7","Sierre, Switzerland","ACM","New York, NY, USA"
"article","1297866","Anders Aas Bjerkestrand and Amir  Zeid and Lars Arne Arne Skaar and Olaf  Zimmermann","","","","Fifth International Workshop on SOA & Web Services Best Practices","746--746","","1","architecture, design and adoption, governance, methodologies, service-oriented architecture, web services","10.1145/1297846.1297866","","","","","","","2007","","Companion to the 22Nd ACM SIGPLAN Conference on Object-oriented Programming Systems and Applications Companion","OOPSLA '07","","978-1-59593-865-7","Montreal, Quebec, Canada","ACM","New York, NY, USA"
"article","2052383","Shuying  Wang and Miriam A. M. Capretz","","","","Dependency and Entropy Based Impact Analysis for Service-Oriented System Evolution","412--417","","6","Service-oriented architecture, Impact analysis, Service entropy, Service evolution","10.1109/WI-IAT.2011.196","","","","","","","2011","","Proceedings of the 2011 IEEE/WIC/ACM International Conferences on Web Intelligence and Intelligent Agent Technology - Volume 01","WI-IAT '11","","978-0-7695-4513-4","","IEEE Computer Society","Washington, DC, USA"
"article","3148092","Lucas M. C. e Martins and Francisco L. de Caldas Filho and Rafael T. de Sousa J&#250;nior and William F. Giozza and Jo&#227;o Paulo C.L. da Costa","","","","Increasing the Dependability of IoT Middleware with Cloud Computing and Microservices","203--208","","6","cloud computing, dependability, internet of things (iot), microservices, middleware, soa.","10.1145/3147234.3148092","","","","","","","2017","","Companion Proceedings of the10th International Conference on Utility and Cloud Computing","UCC '17 Companion","","978-1-4503-5195-9","Austin, Texas, USA","ACM","New York, NY, USA"
"article","2666747","E.  Di Nitto and D.  Meil&#228;nder and S.  Gorlatch and A.  Metzger and H.  Psaier and S.  Dustdar and M.  Razavian and D. A. Tamburri and P.  Lago","","","","Research Challenges on Engineering Service-oriented Applications","14--20","","7","agile approaches, agile service networks, engineering of service-based applications, evolution, human-provided services, real-time applications, self-adaptation","","","","","","","","2012","","Proceedings of the First International Workshop on European Software Services and Systems Research: Results and Challenges","S-Cube '12","","978-1-4673-1807-5","Zurich, Switzerland","IEEE Press","Piscataway, NJ, USA"
"article","1985401","Ricardo  Contreras and Andrea  Zisman","","","","Identifying, Modifying, Creating, and Removing Monitor Rules for Service Oriented Computing","43--49","","7","adaptation, hci context, patterns, rules, service monitoring","10.1145/1985394.1985401","","","","","","","2011","","Proceedings of the 3rd International Workshop on Principles of Engineering Service-Oriented Systems","PESOS '11","","978-1-4503-0591-4","Waikiki, Honolulu, HI, USA","ACM","New York, NY, USA"
"article","1370735","Vina  Ermagan and Ingolf H. Kr&#252;ger and Massimiliano  Menarini","","","","Aspect-oriented Modeling Approach to Define Routing in Enterprise Service Bus Architectures","15--20","","6","aspect-oriented modeling, service-oriented architectures","10.1145/1370731.1370735","","","","","","","2008","","Proceedings of the 2008 International Workshop on Models in Software Engineering","MiSE '08","","978-1-60558-025-8","Leipzig, Germany","ACM","New York, NY, USA"
"article","1462808","Vinod  Muthusamy and Hans-Arno  Jacobsen","","","","SLA-driven Distributed Application Development","31--36","","6","service level agreement, service oriented architecture","10.1145/1462802.1462808","","","","","","","2008","","Proceedings of the 3rd Workshop on Middleware for Service Oriented Computing","MW4SOC '08","","978-1-60558-368-6","Leuven, Belgium","ACM","New York, NY, USA"
"article","1809047","Claudia  Di Napoli and Maurizio  Giordano and Zsolt  N&#233;meth and Nicola  Tonellotto","","","","Using Chemical Reactions to Model Service Composition","43--50","","8","nature-inspired algorithms, service-oriented computing, workflows","10.1145/1809036.1809047","","","","","","","2010","","Proceedings of the Second International Workshop on Self-organizing Architectures","SOAR '10","","978-1-4503-0087-2","Washington, DC, USA","ACM","New York, NY, USA"
"article","2695743","Cleiton  Garcia and Marco  Paludo and Andreia  Malucelli and Sheila  Reinehr","","","","A Software Process Line for Service-oriented Applications","1680--1687","","8","BPM, SOA, SPL, software process lines, web-based services","10.1145/2695664.2695743","","","","","","","2015","","Proceedings of the 30th Annual ACM Symposium on Applied Computing","SAC '15","","978-1-4503-3196-8","Salamanca, Spain","ACM","New York, NY, USA"
"article","1449820","Sonya J. Lowry and Phillip B. Warner and Evan  Deaubl","","","","NOAO Imaging Meta Data Quality Improvement: A Case Study of the Evolution of a Service Oriented System","675--684","","10","astronomy, data quality, integration, meta data, service platform, service-oriented architecture, soa, transformation, virtual observatory","10.1145/1449814.1449820","","","","","","","2008","","Companion to the 23rd ACM SIGPLAN Conference on Object-oriented Programming Systems Languages and Applications","OOPSLA Companion '08","","978-1-60558-220-7","Nashville, TN, USA","ACM","New York, NY, USA"
"article","1370863","Christian  D&#246;rner and Volkmar  Pipek and Moritz  Weber and Volker  Wulf","","","","End-user Development: New Challenges for Service Oriented Architectures","71--75","","5","challenges, end user development, requirements, service oriented architectures","10.1145/1370847.1370863","","","","","","","2008","","Proceedings of the 4th International Workshop on End-user Software Engineering","WEUSE '08","","978-1-60558-034-0","Leipzig, Germany","ACM","New York, NY, USA"
"article","1595721","Cesare  Bartolini and Antonia  Bertolino and Sebastian  Elbaum and Eda  Marchetti","","","","Whitening SOA Testing","161--170","","10","coverage adequacy criteria, service-oriented architecture, testing web services, white-box testing","10.1145/1595696.1595721","","","","","","","2009","","Proceedings of the the 7th Joint Meeting of the European Software Engineering Conference and the ACM SIGSOFT Symposium on The Foundations of Software Engineering","ESEC/FSE '09","","978-1-60558-001-2","Amsterdam, The Netherlands","ACM","New York, NY, USA"
"article","2445563","Jae  Choi and Derek L.  Nazareth and Hemant K.  Jain","","","","The Impact of SOA Implementation on IT-Business Alignment: A System Dynamics Approach","3:1--3:22","3","22","IT-business alignment, Service-oriented architecture, information systems agility, system dynamics modeling","10.1145/2445560.2445563","ACM Trans. Manage. Inf. Syst.","April 2013","4","1","","April","2013","2158-656X","","","","","","ACM","New York, NY, USA"
"article","3167314","Benjamin  Benni and S&#233;bastien  Mosser and Philippe  Collet and Michel  Riveill","","","","Supporting Micro-services Deployment in a Safer Way: A Static Analysis and Automated Rewriting Approach","1706--1715","","10","container, docker, microservice, static analysis","10.1145/3167132.3167314","","","","","","","2018","","Proceedings of the 33rd Annual ACM Symposium on Applied Computing","SAC '18","","978-1-4503-5191-1","Pau, France","ACM","New York, NY, USA"
"article","2439998","Grace A. Lewis and Anca  Ionita and Marin  Litoiu","","","","Report of the 2012 IEEE 6th International Workshop on the Maintenance and Evolution of Service-oriented and Cloud-based Systems (MESOCA 2012)","29--32","","4","SOA, cloud computing, cloudbased systems, evolution, maintenance, service-oriented systems, serviceoriented architecture, services, software evolution, software maintenance","10.1145/2439976.2439998","SIGSOFT Softw. Eng. Notes","March 2013","38","2","","March","2013","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1316661","Steen  Brahe and Kjeld  Schmidt","","","","The Story of a Working Workflow Management System","249--258","","10","BPEL, business process management (BPM), case study, service oriented architecture (SOA), workflow management (WFM)","10.1145/1316624.1316661","","","","","","","2007","","Proceedings of the 2007 International ACM Conference on Supporting Group Work","GROUP '07","","978-1-59593-845-9","Sanibel Island, Florida, USA","ACM","New York, NY, USA"
"article","1982223","Jay  Ramanathan and Rajiv  Ramnath and Nisheet  Singh and Zhe  Xu and Yingxiao  Xu","","","","Sense-respond Cloud Mediator Architecture for Services Evolution","162--169","","8","cloud computing, complex architectures, eGovernment, enterprise Interaction ontology, management, mashups, semantic technologies, sense-respond, service economics, service-oriented architecture (SOA), social software, web 2.0","10.1145/1982185.1982223","","","","","","","2011","","Proceedings of the 2011 ACM Symposium on Applied Computing","SAC '11","","978-1-4503-0113-8","TaiChung, Taiwan","ACM","New York, NY, USA"
"article","2002271","Jonas  Buys and Vincenzo  De Florio and Chris  Blondia","","","","Towards Context-aware Adaptive Fault Tolerance in SOA Applications","63--74","","12","WS-*  specifications, adaptive fault tolerance, context-awareness, dependability, distance-to-failure (dtof), quality of service (QoS), service-oriented architecture (SOA)","10.1145/2002259.2002271","","","","","","","2011","","Proceedings of the 5th ACM International Conference on Distributed Event-based System","DEBS '11","","978-1-4503-0423-8","New York, New York, USA","ACM","New York, NY, USA"
"article","2539223","Karim M. Mahmoud","","","","A Unified Messaging-Based Architectural Pattern for Building Scalable Enterprise Service Bus","697:697--697:701","697","5","Enterprise Architectural Patterns, Enterprise Service Bus, Middleware Systems, Service-Oriented Architecture (SOA)","10.1145/2539150.2539223","","","","","","","2013","","Proceedings of International Conference on Information Integration and Web-based Applications &#38; Services","IIWAS '13","","978-1-4503-2113-6","Vienna, Austria","ACM","New York, NY, USA"
"article","1557638","Matthias  Tilsner and Adrian  Fiech and Thomas  Specht","","","","Integrating Heterogeneous User Interfaces in Service Oriented Web Applications","73--81","","9","GUI integration, component software, service-oriented architecture (SOA), software as a service","10.1145/1557626.1557638","","","","","","","2009","","Proceedings of the 2Nd Canadian Conference on Computer Science and Software Engineering","C3S2E '09","","978-1-60558-401-0","Montreal, Quebec, Canada","ACM","New York, NY, USA"
"article","2693237","Neha  Singh and Kirti  Tyagi","","","","A Literature Review of the Reliability of Composite Web Service in Service-Oriented Architecture","1--8","","8","Atomic service, Composite services, Reliability, Service-Oriented Architecture (SOA), Web services, Workflow Pattern","10.1145/2693208.2693237","SIGSOFT Softw. Eng. Notes","January 2015","40","1","","February","2015","0163-5948","","","","","","ACM","New York, NY, USA"
"article","2838973","Sara  Balderas-D&#237;az and Kawtar  Benghazi and Germ&#225;n  Prados and Elena  Mir&#243;","","","","Designing Configurable and Adaptive Systems in eHealth","118--121","","4","Fibromyalgia, Service Oriented Architecture (SOA), Systemic Lupus Erythematosus (LES), adaptive, ehealth, health care, monitoring, wearable","10.1145/2838944.2838973","","","","","","","2015","","Proceedings of the 3rd 2015 Workshop on ICTs for Improving Patients Rehabilitation Research Techniques","REHAB '15","","978-1-4503-3898-1","Lisbon, Portugal","ACM","New York, NY, USA"
"article","1270303","Hua  Xiao and Jin  Guo and Ying  Zou","","","","Supporting Change Impact Analysis for Service Oriented Business Applications","6--","","","","10.1109/SDSOA.2007.11","","","","","","","2007","","Proceedings of the International Workshop on Systems Development in SOA Environments","SDSOA '07","","0-7695-2960-7","","IEEE Computer Society","Washington, DC, USA"
"article","1217008","Andrea  D'Ambrogio and Paolo  Bocciarelli","","","","A Model-driven Approach to Describe and Predict the Performance of Composite Services","78--89","","12","BPEL, LQN, UML, model transformation, service-oriented architectures, software performance","10.1145/1216993.1217008","","","","","","","2007","","Proceedings of the 6th International Workshop on Software and Performance","WOSP '07","","1-59593-297-6","Buenes Aires, Argentina","ACM","New York, NY, USA"
"article","1454506","Victor C.M. Leung and Terrence  Wong and Peyman  TalebiFard","","","","Breaking the Silos: Access and Service Convergence over the Mobile Internet","286--293","","8","IP multimedia subsystem, convergence, heterogeneous access networks, service oriented architecture","10.1145/1454503.1454506","","","","","","","2008","","Proceedings of the 11th International Symposium on Modeling, Analysis and Simulation of Wireless and Mobile Systems","MSWiM '08","","978-1-60558-235-1","Vancouver, British Columbia, Canada","ACM","New York, NY, USA"
"article","2088896","Rajni  Mohana and Deepak  Dahiya","","","","Approach and Impact of a Protocol for Selection of Service in Web Service Platform","1--6","","6","PSO, SOA, expert system, fuzzy clustering, ontology, web services","10.1145/2088883.2088896","SIGSOFT Softw. Eng. Notes","January 2012","37","1","","January","2012","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1596481","Anne  Martens and Franz  Brosch and Ralf  Reussner","","","","Optimising Multiple Quality Criteria of Service-oriented Software Architectures","25--32","","8","optimisation, performance, quality attribute prediction, reliability, software architecture","10.1145/1596473.1596481","","","","","","","2009","","Proceedings of the 1st International Workshop on Quality of Service-oriented Software Systems","QUASOSS '09","","978-1-60558-709-7","Amsterdam, The Netherlands","ACM","New York, NY, USA"
"article","3036365","Tasnia H. Ashrafi and Sayed E. Arefin and Kowshik D. J. Das and Md. A. Hossain and Amitabha  Chakrabarty","","","","FOG Based Distributed IoT Infrastructure","124:1--124:13","124","13","M2M communication, agent based SOA, fog computing, heterogeneous devices, internet of things (IoT), quality of service (QoS), service oriented architecture(SOA)","10.1145/3018896.3036365","","","","","","","2017","","Proceedings of the Second International Conference on Internet of Things, Data and Cloud Computing","ICC '17","","978-1-4503-4774-7","Cambridge, United Kingdom","ACM","New York, NY, USA"
"article","1982517","Florian  Skopik and Daniel  Schall and Harald  Psaier and Schahram  Dustdar","","","","Adaptive Provisioning of Human Expertise in Service-oriented Systems","1568--1575","","8","human expertise provisioning, service adaptation","10.1145/1982185.1982517","","","","","","","2011","","Proceedings of the 2011 ACM Symposium on Applied Computing","SAC '11","","978-1-4503-0113-8","TaiChung, Taiwan","ACM","New York, NY, USA"
"article","1370923","Asit  Dan and Robert D. Johnson and Tony  Carrato","","","","SOA Service Reuse by Design","25--28","","4","business glossary, service enhancement, service level agreement, service monitoring and management, service registry, service reuse, soa governance","10.1145/1370916.1370923","","","","","","","2008","","Proceedings of the 2Nd International Workshop on Systems Development in SOA Environments","SDSOA '08","","978-1-60558-029-6","Leipzig, Germany","ACM","New York, NY, USA"
"article","1387230","Johann  Bourcier","","","","Building Pervasive Applications: Research Challenges and Envisioned Solutions","1--2","","2","autonomic computing, challenges, pervasive computing, service oriented component","10.1145/1387229.1387230","","","","","","","2008","","Proceedings of the 3rd ACM Workshop on Software Engineering for Pervasive Services","SEPS '08","","978-1-60558-214-6","Sorrento, Italy","ACM","New York, NY, USA"
"article","3195067","Yan  de Lima Justino and Carlos Eduardo da Silva","","","","Reengineering Legacy Systems for Supporting SOA: A Case Study on the Brazilian's Secretary of State for Taxation","125--126","","2","DevOps, SOA, reengineering","10.1145/3183440.3195067","","","","","","","2018","","Proceedings of the 40th International Conference on Software Engineering: Companion Proceeedings","ICSE '18","","978-1-4503-5663-3","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","2543741","Huiqing  Li and Simon  Thompson and Pablo  Lamela Seijas and Miguel Angel  Francisco","","","","Automating Property-based Testing of Evolving Web Services","169--180","","12","api evolution, erlang, property-based testing, quickcheck, web service, wrangler, wsdl","10.1145/2543728.2543741","","","","","","","2014","","Proceedings of the ACM SIGPLAN 2014 Workshop on Partial Evaluation and Program Manipulation","PEPM '14","","978-1-4503-2619-3","San Diego, California, USA","ACM","New York, NY, USA"
"article","1270304","Mira  Kajko-Mattsson and Grace A. Lewis and Dennis B. Smith","","","","A Framework for Roles for Development, Evolution and Maintenance of SOA-Based Systems","7--","","","","10.1109/SDSOA.2007.1","","","","","","","2007","","Proceedings of the International Workshop on Systems Development in SOA Environments","SDSOA '07","","0-7695-2960-7","","IEEE Computer Society","Washington, DC, USA"
"article","2739045","Amal  Alhosban and Khayyam  Hashmi and Zaki  Malik and Brahim  Medjahed and Salima  Benbernou","","","","Bottom-Up Fault Management in Service-Based Systems","7:1--7:40","7","40","Advanced services invocation framework, Web services interchangeability, collaboration exchange protocol, collaborative services delivery platform","10.1145/2739045","ACM Trans. Internet Technol.","June 2015","15","2","","June","2015","1533-5399","","","","","","ACM","New York, NY, USA"
