"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3075959","Jakub  Floty&#324;ski and Krzysztof  Walczak","","","","Knowledge-based Representation of 3D Content Behavior in a Service-oriented Virtual Environment","14:1--14:10","14","10","3D web, behavior modeling, event calculus, semantic web","10.1145/3055624.3075959","","","","","","","2017","","Proceedings of the 22Nd International Conference on 3D Web Technology","Web3D '17","","978-1-4503-4955-0","Brisbane, Queensland, Australia","ACM","New York, NY, USA"
"article","2491059","Masahiro  Hamasaki and Masataka  Goto","","","","Songrium: A Music Browsing Assistance Service Based on Visualization of Massive Open Collaboration Within Music Content Creation Community","4:1--4:10","4","10","massive open collaboration, music interface, social tagging, user-generated content, visualization, web service","10.1145/2491055.2491059","","","","","","","2013","","Proceedings of the 9th International Symposium on Open Collaboration","WikiSym '13","","978-1-4503-1852-5","Hong Kong, China","ACM","New York, NY, USA"
"article","1858270","Antinisca  Di Marco and Antonino  Sabetta","","","","Model-based Dynamic QoS-driven Service Composition","5:1--5:6","5","6","","10.1145/1858263.1858270","","","","","","","2010","","Proceedings of the 2Nd International Workshop on the Quality of Service-Oriented Software Systems","QUASOSS '10","","978-1-4503-0239-5","Oslo, Norway","ACM","New York, NY, USA"
"article","3194768","Andreas  Steffens and Horst  Lichter and Jan Simon D&#246;ring","","","","Designing a Next-generation Continuous Software Delivery System: Concepts and Architecture","1--7","","7","architecture, continuous delivery, continuous software engineering, devops, domain modelling, framework, microservices","10.1145/3194760.3194768","","","","","","","2018","","Proceedings of the 4th International Workshop on Rapid Continuous Software Engineering","RCoSE '18","","978-1-4503-5745-6","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3021466","Gollapudi VRJ Sai Prasad and Sridhar  Chimalakonda and Venaktesh  Choppella and Y. Raghu Reddy","","","","An Aspect Oriented Approach for Renarrating Web Content","56--65","","10","Annotation, Aspects for documents, Microservices for Annotation, Re-narration, Structured Web Documents","10.1145/3021460.3021466","","","","","","","2017","","Proceedings of the 10th Innovations in Software Engineering Conference","ISEC '17","","978-1-4503-4856-0","Jaipur, India","ACM","New York, NY, USA"
"article","2651423","Elena Del  Val and Miguel  Rebollo and Mateo  Vasirani and Alberto  Fern&#225;ndez","","","","Utility-Based Mechanism for Structural Self-Organization in Service-Oriented MAS","12:1--12:24","12","24","Self-organization, complex networks, dynamic networks, service discovery","10.1145/2651423","ACM Trans. Auton. Adapt. Syst.","October 2014","9","3","","October","2014","1556-4665","","","","","","ACM","New York, NY, USA"
"article","1596479","Jens  Happe and Hui  Li and Wolfgang  Theilmann","","","","Black-box Performance Models: Prediction Based on Observation","19--24","","6","black-box performance model, measurement, model extraction","10.1145/1596473.1596479","","","","","","","2009","","Proceedings of the 1st International Workshop on Quality of Service-oriented Software Systems","QUASOSS '09","","978-1-60558-709-7","Amsterdam, The Netherlands","ACM","New York, NY, USA"
"article","2310236","Mathias  Bjorkqvist and Lydia Y. Chen and Walter  Binder","","","","Dynamic Replication in Service-Oriented Systems","531--538","","8","service systems, replication, performance modeling and optimization","10.1109/CCGrid.2012.108","","","","","","","2012","","Proceedings of the 2012 12th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (Ccgrid 2012)","CCGRID '12","","978-0-7695-4691-9","","IEEE Computer Society","Washington, DC, USA"
"article","1462813","C&#225;ssio M. M. Pereira and Daniel C. Lobato and C&#233;sar A. C. Teixeira and Maria G. Pimentel","","","","Achieving Causal and Total Ordering in Publish/Subscribe Middleware with DSM","61--66","","6","DSM, causal/total order, middleware, publish/subscribe","10.1145/1462802.1462813","","","","","","","2008","","Proceedings of the 3rd Workshop on Middleware for Service Oriented Computing","MW4SOC '08","","978-1-60558-368-6","Leuven, Belgium","ACM","New York, NY, USA"
"article","1297916","Amogh  Kavimandan and Aniruddha  Gokhale","","","","Supporting Systems QoS Design and Evolution Through Model Transformations","840--841","","2","CCM, SOA, component middleware, model tansformations, model-driven development, web services","10.1145/1297846.1297916","","","","","","","2007","","Companion to the 22Nd ACM SIGPLAN Conference on Object-oriented Programming Systems and Applications Companion","OOPSLA '07","","978-1-59593-865-7","Montreal, Quebec, Canada","ACM","New York, NY, USA"
